latitude,longitude
11.3198669, 75.9385109
11.3200865, 75.9384944
11.3202519, 75.9377903
11.3203252, 75.9374340
11.3201069, 75.9371714
11.3196667, 75.9372066
11.3196184, 75.9372006
11.3205869, 75.9363111
11.3204107, 75.9363138
11.3200422, 75.9363306
11.3198045, 75.9363825
11.3213476, 75.9349371
11.3214108, 75.9349388
11.3214966, 75.9350448
11.3213805, 75.9351943
